obs0,obs1,action_sb3,action_numpy
0,0,-0.215499878,-0.215499878
0.109582417,-0.0366729349,1.97681236,1.97681236
0.143439174,0.118420817,2.85680008,2.85680008
-0.162329063,0.28537342,-2.39194298,-2.39194298
0.104455881,0.171638578,2.5157299,2.5157299
-0.148754552,-0.0297684371,-3.2518692,-3.2518692
-0.0516807921,0.256058991,-1.96314812,-1.96314621
0.0575460494,0.193656966,1.95442772,1.95442772
-0.02263432,-0.163656771,-2.42508507,-2.42508507
0.0218339153,-0.26170966,0.1842556,0.1842556
0.131052464,0.0789986402,2.58560181,2.58560181
0.103235096,-0.087284416,1.74866295,1.74866295
0.188279212,0.235872671,4.63777542,4.63777542
0.111353397,-0.18321678,1.57259178,1.57259178
-0.0133115984,-0.273717731,-2.05844688,-2.05844688
-0.138284206,0.109829374,-2.78822517,-2.78822517
0.097904861,0.280505836,2.74963951,2.74963951
-0.0696698576,-0.0777241737,-3.0586071,-3.0586071
-0.012177675,-0.186317191,-1.70249367,-1.70249367
-0.148031399,-0.0145770442,-3.20309067,-3.20308876
-0.109236263,0.101888396,-2.6882515,-2.6882515
-0.0251392331,0.19960691,-1.5208683,-1.5208683
0.0801060423,-0.112580016,1.37872314,1.37872314
0.132903919,0.182858616,2.90870667,2.90870667
-0.0450086482,-0.127003133,-3.09877777,-3.09877777
0.0729982033,-0.216148511,0.985782623,0.985782623
-0.120036721,-0.295582652,-3.94744301,-3.94744301
0.114769749,0.0989105105,2.43579674,2.43579674
0.0820661485,0.168437421,2.22258186,2.22258186
-0.0164336897,0.0412447192,-1.3388176,-1.3388176
-0.144081205,-0.231281951,-3.85183716,-3.85183716
0.0673611835,-0.0173422769,1.49246216,1.49246216
0.0260944422,0.158999309,1.41175079,1.41175079
0.0538873263,0.0321476422,1.4550724,1.4550724
0.0236828644,-0.117629938,0.608821869,0.608819962
-0.187672868,-0.0379695669,-3.5253334,-3.5253334
-0.114166133,-0.0548828132,-3.18244934,-3.18244934
0.141361237,-0.159636304,2.02081299,2.02081299
-0.176678896,-0.131169662,-3.7424984,-3.7424984
-0.0825624987,0.0971499085,-2.58589745,-2.58589745
0.0228128601,0.170338929,1.39653969,1.39653969
0.0657254159,-0.0561678819,1.3584938,1.3584938
0.125608161,-0.199816242,1.70389366,1.70389366
-0.190915167,-0.245971277,-4.24714088,-4.24714088
0.0889437422,-0.0228736624,1.75285339,1.75285339
-0.135491282,0.000626865076,-3.10464287,-3.10464287
-0.13907516,0.117792226,-2.76885414,-2.76885414
-0.0215374902,-0.0713872612,-2.06424141,-2.06424141
-0.0793951675,0.0781695545,-2.62952042,-2.62952042
-0.0552749559,-0.247410044,-3.50678635,-3.50678635
-0.152797639,0.277138591,-2.37034035,-2.37034035
0.16343227,0.119824283,3.14658356,3.14658356
-0.0936520174,0.281505823,-2.07335663,-2.07335663
0.11150036,0.130134121,2.4844265,2.4844265
-0.0202553999,-0.136655062,-2.16355324,-2.16355324
-0.161443621,0.241561443,-2.51566696,-2.51566696
-0.0176894832,-0.178581983,-2.09668732,-2.09668732
-0.0776173472,0.0475317426,-2.71463394,-2.71463394
-0.129290894,0.213968575,-2.44188309,-2.44188309
0.103407815,0.131677777,2.38600159,2.38600159
-0.0271627847,0.0763853043,-2.04488373,-2.04488373
0.0336391889,0.0899079591,1.32735062,1.32735062
-0.166222274,-0.0505155586,-3.38859749,-3.38859558
-0.183354333,-0.00360550848,-3.37940788,-3.37940788
-0.068055518,-0.213285491,-3.46023178,-3.46023178
-0.15863882,0.0525867417,-3.05173302,-3.05173302
-0.131762818,0.255072057,-2.33384514,-2.33384514
0.0324244574,-0.0918781161,0.805049896,0.805049896
0.0363661982,-0.286317676,0.310152054,0.310152054
0.183423683,-0.0106179379,3.78745842,3.78745842
0.113094091,-0.250362009,1.39686966,1.39686966
-0.00533666788,-0.00557580357,-0.637969971,-0.637969971
0.175130576,0.0430368297,3.55740738,3.55740738
-0.01060424,-0.1398146,-1.44318581,-1.44318581
-0.067372404,0.0124034416,-2.77578735,-2.77578926
-0.0244354159,-0.287032753,-2.94006157,-2.94006157
0.130516768,0.237696469,3.03691673,3.03691673
-0.143900365,0.0324216858,-3.04406357,-3.04406357
-0.156569704,0.103344053,-2.89452744,-2.89452744
-0.087506488,0.0956535786,-2.6124649,-2.6124649
0.090797849,0.161188498,2.31219864,2.31219864
-0.156903625,0.249607101,-2.47044182,-2.47044182
-0.107914403,-0.277552456,-3.83760643,-3.83760643
0.0219409876,-0.0774466321,0.695749283,0.695749283
0.131915897,0.184950888,2.90219498,2.90219879
-0.0731444433,0.271739632,-2.01136398,-2.01136398
-0.0836328641,0.00903427787,-2.85783386,-2.85783386
-0.0976139605,0.261626154,-2.15179825,-2.15179825
-0.134156868,-0.273053616,-3.93901443,-3.93901443
-0.0259611756,0.295425326,-1.29413223,-1.29413223
0.156670913,0.149164811,3.11307335,3.11307335
0.156316996,0.236067981,3.358078,3.358078
0.00754334405,-0.110442571,0.0237903595,0.0237903595
0.108804971,0.0969967544,2.35423088,2.35423088
-0.0505369082,-0.243320003,-3.47369385,-3.47369385
0.0987158418,-0.142523691,1.53018761,1.53018761
0.174725264,-0.155417651,3.01223373,3.01223373
-0.150896832,0.198667601,-2.59010315,-2.59010315
-0.13868627,-0.19243902,-3.70620155,-3.70619965
0.0397531167,0.224737227,1.78802109,1.78802109
-0.121426135,-0.113805793,-3.39020157,-3.39020157
