#{"t_start": 1789749554.3418007, "env_id": "None"}
r,l,t
-606.88455,7,2.499449
-903.249312,17,2.505445
-463.778307,8,2.508443
-699.73053,6,2.510442
-667.630394,27,2.518438
-615.494484,7,2.521436
-471.346182,7,2.523435
-951.02157,16,2.528432
-476.720645,17,2.534428
-526.538532,15,2.538426
-603.396212,5,2.540425
-282.331157,13,2.544423
-521.632393,6,2.547421
-535.988826,15,2.552418
-594.038798,7,2.555416
-1017.268455,10,2.559414
-447.392268,12,2.565411
-578.896851,11,2.570409
-370.155351,6,2.572406
-428.490199,18,2.578403
-699.184189,14,2.58958
-603.962045,9,2.591578
-549.217745,7,2.594576
-464.277959,7,2.597575
-934.857012,4,2.599574
-481.739271,5,2.601573
-650.227113,10,2.60557
-550.623613,5,2.607569
-1337.867914,11,2.611567
-721.794791,15,2.617563
-699.726581,8,2.620561
-439.305249,8,2.62456
-803.614102,20,2.632554
-576.05004,9,2.635553
-502.523628,5,2.637552
-715.491898,17,2.644535
-750.95639,7,2.647533
-379.617651,6,2.649532
-301.602223,12,2.654529
-502.87336,7,2.657527
-737.263419,8,2.660336
-747.80992,9,2.663335
-526.414537,7,2.665333
-469.839658,25,2.674327
-1092.221939,24,2.684321
-601.297945,9,2.687319
-860.282165,9,2.691317
-877.934999,9,2.695315
-492.190871,10,2.698313
-924.998287,5,2.701311
-647.829229,8,2.704309
-1023.200255,5,2.706308
-500.190275,5,2.708307
-453.509613,6,2.710306
-489.616138,6,2.713304
-526.068512,13,2.718301
-756.526199,6,2.7203
-472.425588,9,2.724298
-544.368451,7,2.726298
-710.351669,6,2.729295
-1120.225839,5,2.731279
-692.537949,16,2.73829
-808.242712,9,2.741288
-753.670897,4,2.743287
-984.760563,6,2.746285
-461.356114,5,2.748284
-434.713428,17,2.754281
-672.529164,10,2.758278
-918.051691,10,2.762276
-590.383482,11,2.767273
-946.064035,18,2.774269
-610.748091,9,2.777267
-562.243205,5,2.779266
-573.888221,5,2.781265
-696.338114,5,2.784264
-613.687132,5,2.786263
-489.392928,12,2.79126
-877.23612,10,2.795257
-763.908925,6,2.797256
-1684.196535,29,2.809249
-366.735089,10,2.814232
-678.809092,51,2.834234
-776.434081,7,2.837233
-359.301363,11,2.84223
-1230.322546,26,2.852224
-882.412635,10,2.856221
-416.65051,14,2.862219
-316.028795,18,2.870214
-541.11021,6,2.872212
-1025.407003,21,2.881208
-577.944665,10,2.885206
-405.203045,7,2.888188
-603.655371,8,2.891186
-900.074788,20,3.240932
-464.507483,7,3.318437
-750.989309,5,3.36441
-778.146879,16,3.511347
-469.403379,6,3.566315
-428.692589,5,3.616286
-376.378429,7,3.70024
-508.381752,12,3.808539
-413.675071,6,3.877172
-1330.426178,12,4.02179
-566.208823,15,4.168778
-444.573268,10,4.264753
-832.20197,18,4.445682
-882.210793,15,4.619603
-734.525143,8,4.698687
-375.033798,8,4.779685
-335.499077,20,5.017557
-299.171788,11,5.171075
-402.380748,9,5.282029
-357.141006,21,5.52189
-340.872306,9,5.621833
-350.275502,6,5.698298
-450.236866,6,5.774251
-302.924267,6,5.862209
-304.632034,7,5.949162
-265.142455,11,6.089093
-391.227611,7,6.177123
-401.885825,6,6.238606
-431.611053,7,6.313567
-396.947918,9,6.4053
-473.62078,5,6.458262
-439.527782,14,6.612172
-448.557442,8,6.712115
-482.759299,6,6.793069
-320.694076,13,6.940006
-569.827479,11,7.051439
-310.097758,9,7.157377
-263.933818,10,7.269337
-278.535868,13,7.43724
-251.253253,10,7.541085
-284.922818,9,7.640607
-318.868428,12,7.771537
-262.96655,15,7.935443
-252.816497,16,8.127645
-262.860407,24,8.442722
-323.38418,12,8.573634
-245.413962,21,8.77252
-277.680377,18,8.948751
-285.471321,21,9.169132
-369.795109,29,9.502794
-358.806742,35,9.841426
-358.877879,30,10.161471
-272.23209,17,10.350422
-333.976235,26,10.632874
-367.108581,29,10.926733
-310.208731,22,11.146116
-333.388339,26,11.440038
-370.675802,28,11.777883
-402.021966,32,12.125736
-352.044766,29,12.457744
-404.103193,34,12.851023
-398.160411,36,13.25174
-483.022104,47,13.809914
-537.788737,50,14.339152
-473.158388,42,14.819314
-381.154617,33,15.203941
-506.148039,49,15.741444
-446.28103,43,16.204827
-414.628992,34,16.554662
-542.192749,53,17.237303
-550.118545,59,17.925909
-651.499045,72,18.809136
-603.401214,61,19.52225
-600.683865,70,20.311988
-600.832898,103,21.434847
-271.379608,51,21.947773
-252.288955,58,22.607563
-229.47393,55,23.194098
-203.958042,48,23.721141
-188.712597,39,24.192476
-181.307007,40,24.664212
-203.641099,56,25.288062
-197.836994,53,25.933311
-192.838565,44,26.439991
-190.665814,45,26.948578
-181.993351,41,27.419789
-192.974857,47,27.953513
-192.143354,41,28.402563
-178.994957,40,28.855005
-177.822717,37,29.259807
-179.773608,35,29.597061
-178.942735,36,30.0134
-181.078511,44,30.550628
-170.237937,36,30.99157
-173.228992,35,31.387148
-171.890465,31,31.698399
-172.955877,35,32.157457
-174.518119,30,32.517163
-174.155099,32,32.83708
-178.264829,35,33.273003
-174.268948,32,33.577151
-175.313301,35,33.977083
-171.86892,30,34.356829
-174.530904,31,34.716828
-175.451908,38,35.106969
-173.066495,31,35.462444
-175.061976,33,35.857092
-170.488423,30,36.22442
-174.553028,30,36.597159
-171.404779,34,37.026849
-171.795211,33,37.436119
-169.439976,32,37.72736
-175.33611,27,38.027534
-172.65222,33,38.444777
-170.440587,28,38.756902
-174.832591,33,39.146926
-170.84758,36,39.617105
-174.482247,31,39.937228
-174.573016,27,40.227092
-172.246701,33,40.599834
-169.981263,33,40.951986
-171.001953,38,41.35678
-173.628902,36,41.840932
-176.992778,28,42.15717
-173.635013,29,42.495278
-173.188045,40,42.997218
-175.602293,31,43.328858
-171.072537,41,43.8469
-173.801638,29,44.221777
-176.201608,32,44.571753
-171.2071,39,45.006932
-171.518485,27,45.274004
-170.411527,37,45.671012
-172.576198,38,46.149297
-177.460637,36,46.547076
-172.606226,38,46.977009
-181.074699,52,47.59172
-179.689948,42,48.002211
-178.604439,41,48.477103
-177.40965,38,48.910313
-177.18307,50,49.494233
-192.779043,69,50.289026
-184.619539,51,50.881378
-185.630411,50,51.43205
-191.88822,60,52.067042
-187.43357,52,52.730676
-194.785657,59,53.3143
-190.664352,50,53.887206
-202.355317,57,54.507265
-203.176755,67,55.219029
-191.513898,63,55.876847
-210.297376,70,56.643773
-193.640628,58,57.237132
-210.082218,85,58.21575
-213.006454,67,59.026888
-225.862075,86,60.00702
-300.273146,195,62.387097
-251.839854,146,63.992513
-218.983459,90,65.030313
-206.916589,63,65.71461
-291.599601,178,67.705067
-218.840656,105,68.844672
-206.150195,71,69.64904
-220.936557,74,70.442595
-239.500933,92,71.48693
-205.060617,72,72.257172
-206.408334,57,72.850793
-207.840769,78,73.738664
-215.965755,118,75.096806
-195.289942,47,75.600619
-208.275233,62,76.287122
-201.963383,62,77.019324
-211.676152,85,77.923802
-192.905466,39,78.337949
-201.903323,89,79.41715
-196.064731,60,80.148849
-207.673582,76,81.00719
-200.070987,77,81.907069
-202.033883,58,82.567205
-186.418492,57,83.288977
-200.606958,65,84.024296
-201.538023,59,84.721875
-191.274248,67,85.469388
-195.642806,64,86.16744
-195.662254,60,86.876776
-195.448233,55,87.482899
-189.200731,51,88.044806
-200.590573,52,88.559491
-211.48729,77,89.457153
-192.743549,50,90.00806
-201.929755,49,90.582962
-205.061099,73,91.506966
-204.803273,60,92.187025
-199.788679,58,92.818422
-198.593257,50,93.40125
-203.146527,66,94.177234
-193.242237,50,94.72071
-191.234703,62,95.433724
-191.882244,65,96.131306
-191.844909,66,96.956698
-201.896867,38,97.407626
-201.195656,55,98.057247
-202.72244,55,98.644939
-193.549449,53,99.249501
-199.836155,66,99.957219
-204.427026,83,101.020689
-193.839962,55,101.637147
-193.176801,48,102.22124
-203.25485,68,102.997166
-202.133551,58,103.723418
-206.628439,65,104.447103
-199.549553,67,105.220073
-200.223201,46,105.691208
-190.76396,61,106.405427
-203.70607,64,107.099161
-196.617718,58,107.796262
-193.522136,60,108.486158
-197.201119,49,109.006192
-229.043341,114,110.286447
-214.981324,101,111.478387
-195.867961,58,112.092972
-199.098959,69,112.90456
-191.218352,45,113.358248
-216.941899,103,114.557378
-189.911162,57,115.220182
-213.167656,70,116.026755
-209.605534,107,117.191768
-195.408114,59,117.912154
-200.847585,73,118.625266
