test_id,initial_angle_deg,steps,duration_s,final_angle_deg,final_omega_rad_s,max_abs_angle_deg,max_abs_omega_rad_s,max_abs_action,final_action,mean_abs_angle_last_1s_deg,max_abs_angle_last_1s_deg,total_reward,terminated,truncated,completed_horizon,passed
1,5.479120971119267,500,5.0,0.1862420290708542,9.020556171890348e-05,5.479120971119267,0.33450040221214294,1.9048175811767578,0.03190040588378906,0.18624222561717033,0.18624268472194672,-2.2697191329557618,False,True,True,True
2,-1.2224312049589532,500,5.0,0.18624232709407806,9.09993686946109e-05,1.2224312049589532,0.5445145964622498,1.834268569946289,0.03189659118652344,0.18624219700694084,0.1862427145242691,-0.4805353047939449,False,True,True,True
3,7.171958398227648,500,5.0,0.18624180555343628,9.008277265820652e-05,7.171958398227648,0.36073970794677734,2.2822322845458984,0.03190040588378906,0.18624225988984108,0.18624289333820343,-3.8076573696685356,False,True,True,True
4,3.9473605811872776,500,5.0,0.18624205887317657,9.035758557729423e-05,3.9473605811872776,0.30745038390159607,1.5625572204589844,0.03190040588378906,0.1862422478199005,0.1862426996231079,-1.278679695803155,False,True,True,True
5,-8.11645304224701,500,5.0,0.18624258041381836,9.072503598872572e-05,8.11645304224701,0.7797421813011169,3.132425308227539,0.03189659118652344,0.18624229565262795,0.18624292314052582,-6.115929147842187,False,True,True,True
6,9.512447032735118,500,5.0,0.18624240159988403,9.12885952857323e-05,9.512447032735118,0.4689589738845825,2.9696884155273438,0.03189659118652344,0.18624218165874482,0.18624266982078552,-6.779978989001117,False,True,True,True
7,5.222794039807059,500,5.0,0.18624258041381836,9.024660539580509e-05,5.222794039807059,0.3301079571247101,1.8475914001464844,0.03190040588378906,0.18624222919344902,0.18624275922775269,-2.078405641138058,False,True,True,True
8,5.721286105539075,500,5.0,0.1862422376871109,9.096154099097475e-05,5.721286105539075,0.33864909410476685,1.9588680267333984,0.03189659118652344,0.18624221563339233,0.18624268472194672,-2.458991008791829,False,True,True,True
9,-7.4377273464890825,500,5.0,0.18624258041381836,9.06354543985799e-05,7.4377273464890825,0.7791681289672852,3.0826892852783203,0.03189659118652344,0.18624227583408356,0.18624292314052582,-5.398812495448223,False,True,True,True
10,-0.9922812420886569,500,5.0,0.18624247610569,9.111196413869038e-05,0.9922812420886569,0.4558503329753876,1.5302658081054688,0.03189659118652344,0.1862423062324524,0.18624280393123627,-0.3516541403365272,False,True,True,True
11,-2.5840395153483753,500,5.0,0.18624240159988403,9.094342385651544e-05,2.5840395153483753,0.7828449010848999,2.714374542236328,0.03189659118652344,0.1862422902882099,0.1862427443265915,-1.4403019458868065,False,True,True,True
12,8.535299776972035,500,5.0,0.18624219298362732,9.073218825506046e-05,8.535299776972035,0.3806614875793457,2.5843143463134766,0.03189659118652344,0.18624234035611154,0.18624284863471985,-5.437748847720576,False,True,True,True
13,2.8773024016132904,500,5.0,0.18624240159988403,9.109411621466279e-05,2.8773024016132904,0.28766149282455444,1.313690185546875,0.03189659118652344,0.18624225080013276,0.18624284863471985,-0.7768152916291757,False,True,True,True
14,6.455232265416598,500,5.0,0.1862424612045288,9.02755418792367e-05,6.455232265416598,0.3512088656425476,2.122560501098633,0.03190040588378906,0.18624226674437522,0.18624280393123627,-3.094397806418479,False,True,True,True
15,-1.131716023453377,500,5.0,0.18624217808246613,9.16962162591517e-05,1.131716023453377,0.509587824344635,1.7145061492919922,0.03189659118652344,0.18624220460653304,0.18624275922775269,-0.4269622396891592,False,True,True,True
16,-5.455225564304462,500,5.0,0.18624170124530792,9.04264161363244e-05,5.455225564304462,0.7839133739471436,2.9362945556640625,0.03189659118652344,0.1862422575056553,0.1862426996231079,-3.601805423202969,False,True,True,True
17,1.0916957403166965,500,5.0,0.18624238669872284,9.162446076516062e-05,1.0916957403166965,0.24696817994117737,0.8699321746826172,0.03189659118652344,0.1862422488629818,0.18624261021614075,-0.2051181864327694,False,True,True,True
18,-8.723654877916493,500,5.0,0.18624190986156464,9.065247286343947e-05,8.723654877916493,0.7822510004043579,3.1768970489501953,0.03189659118652344,0.1862422576546669,0.18624277412891388,-6.815138020329825,False,True,True,True
19,6.55262343985164,500,5.0,0.18624156713485718,9.045040496857837e-05,6.55262343985164,0.35287362337112427,2.144268035888672,0.03189659118652344,0.18624215871095656,0.18624275922775269,-3.1855249029867916,False,True,True,True
20,2.6332879824412974,500,5.0,0.18624213337898254,9.125144424615428e-05,2.6332879824412974,0.2831049859523773,1.253091812133789,0.03189659118652344,0.18624231934547425,0.18624284863471985,-0.6810370569286764,False,True,True,True
21,5.1617548017074775,500,5.0,0.18624235689640045,9.10818125703372e-05,5.1617548017074775,0.3290615379810333,1.8339595794677734,0.03189659118652344,0.1862422788143158,0.1862427443265915,-2.0345508461603123,False,True,True,True
22,-2.9094806374026323,500,5.0,0.18624238669872284,9.093554399441928e-05,2.9094806374026323,0.7770072221755981,2.739673614501953,0.03189659118652344,0.18624229744076728,0.18624275922775269,-1.6715002067564173,False,True,True,True
23,9.413960487898066,500,5.0,0.18624189496040344,9.086947829928249e-05,9.413960487898066,0.4386049509048462,2.8764076232910156,0.03189659118652344,0.18624239534139633,0.1862429529428482,-6.6539254736474245,False,True,True,True
