test_id,initial_angle_deg,initial_omega_rad_s,steps,duration_s,final_angle_deg,final_omega_rad_s,max_abs_angle_deg,max_abs_omega_rad_s,max_abs_action,final_action,mean_abs_angle_last_1s_deg,max_abs_angle_last_1s_deg,total_reward,terminated,truncated,completed_horizon,passed
1,5.479120971119267,0.2451484144245642,500,5.0,0.1862419843673706,9.106143988901749e-05,5.479120971119267,0.3354319930076599,2.618022918701172,0.031894683837890625,0.18624230042099954,0.18624275922775269,-2.3269982383520698,False,True,True,True
2,-1.2224312049589532,0.11982428028644976,500,5.0,0.18624238669872284,9.040177246788517e-05,1.2224312049589532,0.5453341007232666,1.4732723236083984,0.03190040588378906,0.18624231904745103,0.18624278903007507,-0.4632643472558028,False,True,True,True
3,7.171958398227648,-0.14047802312428825,500,5.0,0.18624195456504822,9.110511018661782e-05,7.171958398227648,0.36010652780532837,1.872884750366211,0.03189659118652344,0.18624221473932268,0.18624275922775269,-3.7628405167798347,False,True,True,True
4,3.9473605811872776,0.28150582640863436,500,5.0,0.1862422525882721,9.099001181311905e-05,3.9473605811872776,0.3082093298435211,2.357799530029297,0.03189659118652344,0.18624229326844216,0.18624280393123627,-1.3250330622388302,False,True,True,True
5,-8.11645304224701,0.16725054237947673,500,5.0,0.18624204397201538,9.062082244781777e-05,8.11645304224701,0.7815767526626587,2.637317657470703,0.03189659118652344,0.18624226108193398,0.186242938041687,-6.059760594042119,False,True,True,True
6,9.512447032735118,0.13013411349539739,500,5.0,0.18624229729175568,9.077363938558847e-05,9.512447032735118,0.4761044681072235,3.3144893646240234,0.03189659118652344,0.18624226957559586,0.1862427443265915,-6.83778991129923,False,True,True,True
7,5.222794039807059,-0.030383098713726797,500,5.0,0.18624219298362732,9.087533544516191e-05,5.222794039807059,0.3299926221370697,1.7593421936035156,0.03190040588378906,0.1862422554194927,0.186242938041687,-2.071690651940541,False,True,True,True
8,5.721286105539075,-0.13665506289290458,500,5.0,0.1862422078847885,9.051865345099941e-05,5.721286105539075,0.3381330370903015,1.561859130859375,0.03189659118652344,0.18624222815036773,0.1862427294254303,-2.4263584386092774,False,True,True,True
9,-7.4377273464890825,-0.24216542270790042,500,5.0,0.1862419992685318,9.046762716025114e-05,7.4377273464890825,0.7767608165740967,3.8231124877929688,0.03189659118652344,0.18624226167798041,0.18624283373355865,-5.471250851531376,False,True,True,True
10,-0.9922812420886569,0.24156143792630497,500,5.0,0.18624235689640045,9.030467481352389e-05,0.9922812420886569,0.45697614550590515,0.8009395599365234,0.03190040588378906,0.1862422126531601,0.1862427443265915,-0.3233125690518863,False,True,True,True
11,-2.5840395153483753,-0.026534226099833358,500,5.0,0.18624234199523926,9.120449249166995e-05,2.5840395153483753,0.7826365828514099,2.7949962615966797,0.03189659118652344,0.1862423053383827,0.1862429529428482,-1.4460491812545426,False,True,True,True
12,8.535299776972035,-0.1785819811228618,500,5.0,0.1862424910068512,9.112103725783527e-05,8.535299776972035,0.3821796178817749,2.0604724884033203,0.03189659118652344,0.18624226838350297,0.18624275922775269,-5.365709175370815,False,True,True,True
13,2.8773024016132904,-0.11642602550960848,500,5.0,0.18624164164066315,9.079759183805436e-05,2.8773024016132904,0.28733423352241516,0.9839000701904297,0.03189659118652344,0.1862422074377537,0.1862427294254303,-0.7630142824667262,False,True,True,True
14,6.455232265416598,0.0475317413651376,500,5.0,0.18624229729175568,9.104180935537443e-05,6.455232265416598,0.35138317942619324,2.2602710723876953,0.03189659118652344,0.1862422727048397,0.18624283373355865,-3.108180969347897,False,True,True,True
15,-1.131716023453377,-0.19393633023646095,500,5.0,0.18624207377433777,9.123649215325713e-05,1.131716023453377,0.5087693929672241,2.3002967834472656,0.03189659118652344,0.18624223604798318,0.1862429529428482,-0.4549177918997923,False,True,True,True
16,-5.455225564304462,0.21396857045542533,500,5.0,0.18624204397201538,9.098318696487695e-05,5.455225564304462,0.7795737981796265,2.2864856719970703,0.03189659118652344,0.1862423138320446,0.1862429827451706,-3.547529559891724,False,True,True,True
17,1.0916957403166965,0.15511171790112604,500,5.0,0.18624213337898254,9.108374797506258e-05,1.0916957403166965,0.2470206916332245,1.3008079528808594,0.03189659118652344,0.18624217480421065,0.1862427443265915,-0.21619289820481818,False,True,True,True
18,-8.723654877916493,0.1316777735705621,500,5.0,0.1862422525882721,9.101280738832429e-05,8.723654877916493,0.7837775945663452,2.7915592193603516,0.03189659118652344,0.1862422566115856,0.1862426996231079,-6.768523260844176,False,True,True,True
19,6.55262343985164,-0.04074417613493775,500,5.0,0.18624256551265717,9.072088141692802e-05,6.55262343985164,0.3526986837387085,2.026134490966797,0.03189659118652344,0.1862422612309456,0.18624280393123627,-3.1738367491844555,False,True,True,True
20,2.6332879824412974,0.0763853044214659,500,5.0,0.18624232709407806,9.025156759889796e-05,2.6332879824412974,0.28327056765556335,1.4650516510009766,0.03190040588378906,0.18624222427606582,0.18624283373355865,-0.6893221735360877,False,True,True,True
21,5.1617548017074775,0.05045878134764137,500,5.0,0.18624244630336761,9.110421524383128e-05,5.1617548017074775,0.3292523920536041,1.9804306030273438,0.03189659118652344,0.186242299079895,0.18624278903007507,-2.0454809768237934,False,True,True,True
22,-2.9094806374026323,0.089907960932892,500,5.0,0.18624193966388702,9.110142127610743e-05,2.9094806374026323,0.7739574313163757,2.466136932373047,0.031894683837890625,0.1862422402203083,0.1862427294254303,-1.65097549513651,False,True,True,True
23,9.413960487898066,-0.24933340731606654,500,5.0,0.18624195456504822,9.148947719950229e-05,9.413960487898066,0.446092814207077,2.187070846557617,0.03189659118652344,0.18624228820204736,0.18624284863471985,-6.540870523455892,False,True,True,True
24,7.862422426443953,-0.050515558697634216,500,5.0,0.1862424612045288,9.129940008278936e-05,7.862422426443953,0.37014544010162354,2.2888011932373047,0.03189659118652344,0.1862422738969326,0.1862426996231079,-4.568704441300415,False,True,True,True
25,5.567669941475238,-0.2750314956828645,500,5.0,0.18624277412891388,9.114432032220066e-05,5.567669941475238,0.3362264931201935,1.1226005554199219,0.03189659118652344,0.18624233350157737,0.1862429827451706,-2.2741927855721165,False,True,True,True
26,-6.1072258429606485,-0.003605508453288664,500,5.0,0.1862419843673706,9.110752580454573e-05,6.1072258429606485,0.7747485041618347,2.996004104614258,0.031894683837890625,0.18624228328466416,0.1862426996231079,-4.150842420702743,False,True,True,True
27,-0.6655799254593155,-0.10208327260032882,500,5.0,0.18624261021614075,9.185234375763685e-05,0.6655799254593155,0.3292310833930969,1.4060955047607422,0.03189659118652344,0.18624234989285468,0.1862429529428482,-0.21769735642511595,False,True,True,True
28,-9.123924684255424,-0.21328548668037184,500,5.0,0.18624214828014374,9.071427484741434e-05,9.123924684255424,0.7773545384407043,3.8887481689453125,0.03189659118652344,0.18624226793646811,0.18624277412891388,-7.390044081064426,False,True,True,True
29,-6.914210158649043,-0.237958219366469,500,5.0,0.18624217808246613,9.029090142576024e-05,6.914210158649043,0.7828249931335449,3.7696571350097656,0.03190040588378906,0.1862422053515911,0.1862426996231079,-4.953837952927396,False,True,True,True
30,3.6609790648490925,0.052586743306627215,500,5.0,0.18624193966388702,9.105853678192943e-05,3.6609790648490925,0.30239158868789673,1.652761459350586,0.03189659118652344,0.1862422551214695,0.18624289333820343,-1.1379589001480137,False,True,True,True
31,4.895243118156342,-0.19764421887786832,500,5.0,0.18624190986156464,9.064823825610802e-05,4.895243118156342,0.3237369954586029,1.199432373046875,0.03189659118652344,0.18624230921268464,0.18624283373355865,-1.8102458987961332,False,True,True,True
32,9.350194648684202,0.25507207102607826,500,5.0,0.1862422376871109,9.17183278943412e-05,9.350194648684202,0.4332181513309479,3.4966583251953125,0.03189659118652344,0.18624234572052956,0.1862429976463318,-6.695274947947634,False,True,True,True
33,-3.4834928372369607,0.048636683820237,500,5.0,0.18624280393123627,9.058428986463696e-05,3.4834928372369607,0.7824380993843079,2.6364479064941406,0.03190040588378906,0.18624229207634926,0.1862429529428482,-2.0752898243650963,False,True,True,True
34,-2.5908058793026223,-0.09187811727909775,500,5.0,0.18624205887317657,9.008884080685675e-05,2.5908058793026223,0.7819161415100098,2.993562698364258,0.03190040588378906,0.18624223187565803,0.1862426996231079,-1.4650447907151523,False,True,True,True
35,-0.6088837744838411,0.054549294888850075,500,5.0,0.18624266982078552,9.144801879301667e-05,0.6088837744838411,0.3080331087112427,0.8580417633056641,0.03189659118652344,0.1862422290444374,0.18624266982078552,-0.18372545090525122,False,True,True,True
