time_s,theta_rad,omega_rad_s,u,pwm_command,next_theta_rad,next_omega_rad_s,reward
0.000000000000000000e+00,8.726646006107330322e-02,0.000000000000000000e+00,1.797834396362304688e+00,7.191337585449218750e+01,8.564131706953048706e-02,-3.155308961868286133e-01,-1.263564309848183298e-01
1.000000000000000021e-02,8.564131706953048706e-02,-3.155308961868286133e-01,8.569488525390625000e-01,3.427795410156250000e+01,8.240215480327606201e-02,-3.262890875339508057e-01,-1.218678018586203393e-01
2.000000000000000042e-02,8.240215480327606201e-02,-3.262890875339508057e-01,7.841205596923828125e-01,3.136482238769531250e+01,7.912502437829971313e-02,-3.234689831733703613e-01,-1.155386361897273451e-01
2.999999999999999889e-02,7.912502437829971313e-02,-3.234689831733703613e-01,7.508907318115234375e-01,3.003562927246093750e+01,7.587912678718566895e-02,-3.202421963214874268e-01,-1.094177834881328443e-01
4.000000000000000083e-02,7.587912678718566895e-02,-3.202421963214874268e-01,7.192306518554687500e-01,2.876922607421875000e+01,7.266640663146972656e-02,-3.170253634452819824e-01,-1.035739000944351090e-01
5.000000000000000278e-02,7.266640663146972656e-02,-3.170253634452819824e-01,6.873188018798828125e-01,2.749275207519531250e+01,6.948773562908172607e-02,-3.136252462863922119e-01,-9.793825771482786435e-02
5.999999999999999778e-02,6.948773562908172607e-02,-3.136252462863922119e-01,6.563777923583984375e-01,2.625511169433593750e+01,6.634388118982315063e-02,-3.102521598339080811e-01,-9.257413535467469423e-02
7.000000000000000666e-02,6.634388118982315063e-02,-3.102521598339080811e-01,6.258049011230468750e-01,2.503219604492187500e+01,6.323450058698654175e-02,-3.069154918193817139e-01,-8.747621112921635800e-02
8.000000000000000167e-02,6.323450058698654175e-02,-3.069154918193817139e-01,5.955600738525390625e-01,2.382240295410156250e+01,6.015925109386444092e-02,-3.036123514175415039e-01,-8.263627570257017774e-02
8.999999999999999667e-02,6.015925109386444092e-02,-3.036123514175415039e-01,5.656623840332031250e-01,2.262649536132812500e+01,5.711775273084640503e-02,-3.003474473953247070e-01,-7.804864704546185528e-02
1.000000000000000056e-01,5.711775273084640503e-02,-3.003474473953247070e-01,5.360813140869140625e-01,2.144325256347656250e+01,5.410963669419288635e-02,-2.971165478229522705e-01,-7.370503131884231784e-02
1.100000000000000006e-01,5.410963669419288635e-02,-2.971165478229522705e-01,5.068302154541015625e-01,2.027320861816406250e+01,5.113454535603523254e-02,-2.939209938049316406e-01,-6.959906975564630893e-02
